Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.24     0.00     2596     0.00     0.00  sub_10068620()
  0.00      5.24     0.00     1915     0.00     0.00  sub_10058370()
  0.00      5.24     0.00     1864     0.00     0.00  sub_100ca290()
  0.00      5.24     0.00     1617     0.00     0.00  sub_1004b180()
  0.00      5.24     0.00     1615     0.00     0.00  sub_10062430()
  0.00      5.24     0.00     1590     0.00     0.00  kernel32::FindNextFileA()
  0.00      5.24     0.00     1535     0.00     0.00  sub_1004d4e0()
  0.00      5.24     0.00     1321     0.00     0.00  sub_10064ed0()
  0.00      5.24     0.00     1280     0.00     0.00  sub_10064fd0()
  0.00      5.24     0.00     1155     0.00     0.01  sub_10051d20()
  0.00      5.24     0.00     1155     0.00     0.00  sub_10052ab0()
  0.00      5.24     0.00     1024     0.00     0.00  sub_10065d80()
  0.00      5.24     0.00      952     0.00     0.00  sub_100499c0()
  0.00      5.24     0.00      926     0.00     0.00  sub_11001000()
  0.00      5.24     0.00      868     0.00     0.00  sub_1006ff00()
  0.00      5.24     0.00      814     0.00     0.03  sub_10068890()
  0.00      5.24     0.00      810     0.00     0.00  sub_100ca3f6()
  0.00      5.24     0.00      800     0.00     0.00  sub_10056420()
  0.00      5.24     0.00      800     0.00     0.06  subopt_1006d830()
  0.00      5.24     0.00      800     0.00     0.00  subopt_1006f230()
  0.00      5.24     0.00      800     0.00     0.01  subopt_1006fb80()
  0.00      5.24     0.00      729     0.00     0.00  sub_1004d750()
  0.00      5.24     0.00      728     0.00     0.00  sub_1004d790()
  0.00      5.24     0.00      726     0.00     0.00  sub_10050850()
  0.00      5.24     0.00      720     0.00     0.00  sub_1004d090()
  0.00      5.24     0.00      720     0.00     0.00  sub_1004d820()
  0.00      5.24     0.00      720     0.00     0.00  sub_1004e210()
  0.00      5.24     0.00      720     0.00     0.00  sub_1004e580()
  0.00      5.24     0.00      720     0.00     0.00  sub_1004e830()
  0.00      5.24     0.00      720     0.00     0.00  sub_1004ffd0()
  0.00      5.24     0.00      720     0.00     0.07  sub_10051120()
  0.00      5.24     0.00      692     0.00     0.00  sub_10058230()
  0.00      5.24     0.00      618     0.00     0.00  sub_10026cc0()
  0.00      5.24     0.00      512     0.00     0.00  sub_100640b0()
  0.00      5.24     0.00      507     0.00     0.00  sub_77778888()
  0.00      5.24     0.00      476     0.00     0.00  sub_1006fec0()
  0.00      5.24     0.00      462     0.00     0.00  sub_10058970()
  0.00      5.24     0.00      438     0.00     0.02  sub_100644c0()
  0.00      5.24     0.00      417     0.00     0.00  sub_100dfe70()
  0.00      5.24     0.00      417     0.00     0.00  sub_100dfeb0()
  0.00      5.24     0.00      402     0.00     0.00  sub_100dfd90()
  0.00      5.24     0.00      400     0.00     1.48  sub_10016ed0()
  0.00      5.24     0.00      400     0.00     0.00  sub_1001cfb0()
  0.00      5.24     0.00      400     0.00     0.00  sub_1003ae40()
  0.00      5.24     0.00      400     0.00     0.00  sub_10049980()
  0.00      5.24     0.00      400     0.00     0.00  sub_100499a0()
  0.00      5.24     0.00      400     0.00     0.00  sub_10055570()
  0.00      5.24     0.00      400     0.00     0.00  sub_100555d0()
  0.00      5.24     0.00      400     0.00    11.03  sub_100557e0()
  0.00      5.24     0.00      400     0.00     0.00  sub_100559b0()
  0.00      5.24     0.00      400     0.00     0.00  sub_10056aa0()
  0.00      5.24     0.00      400     0.00    11.03  sub_10056b90()
  0.00      5.24     0.00      400     0.00     0.01  sub_10059ed0()
  0.00      5.24     0.00      400     0.00     1.32  sub_10062630()
  0.00      5.24     0.00      400     0.00     0.00  sub_10067f10()
  0.00      5.24     0.00      400     0.00     0.00  sub_10067f50()
  0.00      5.24     0.00      400     0.00     1.26  sub_10068870()
  0.00      5.24     0.00      400     0.00     0.00  sub_100688b0()
  0.00      5.24     0.00      400     0.00     0.00  sub_100688c0()
  0.00      5.24     0.00      400     0.00     0.28  subopt_1006df90()
  0.00      5.24     0.00      400     0.00     0.00  subopt_10070420()
  0.00      5.24     0.00      400     0.00     0.00  subopt_10070470()
  0.00      5.24     0.00      396     0.00     0.00  sub_1005cf90()
  0.00      5.24     0.00      370     0.00     0.01  sub_1001dfa0()
  0.00      5.24     0.00      320     0.00     0.00  sub_1005bd60()
  0.00      5.24     0.00      280     0.00     0.00  sub_1005eaa0()
  0.00      5.24     0.00      274     0.00     0.00  sub_10008b60()
  0.00      5.24     0.00      265     0.00     0.01  sub_1001e1b0()
  0.00      5.24     0.00      265     0.00     0.00  sub_1001e1e0()
  0.00      5.24     0.00      262     0.00     0.00  sub_10068250()
  0.00      5.24     0.00      252     0.00     0.00  sub_1006fb40()
  0.00      5.24     0.00      246     0.00     0.00  sub_10007190()
  0.00      5.24     0.00      246     0.00     0.00  sub_1000b870()
  0.00      5.24     0.00      246     0.00     0.00  sub_10058870()
  0.00      5.24     0.00      246     0.00     0.00  sub_10065870()
  0.00      5.24     0.00      215     0.00     0.01  sub_1001de80()
  0.00      5.24     0.00      208     0.00     0.00  sub_100702a0()
  0.00      5.24     0.00      208     0.00     0.00  sub_100702e0()
  0.00      5.24     0.00      208     0.00     0.00  sub_100702f0()
  0.00      5.24     0.00      204     0.00     0.00  sub_10051da0()
  0.00      5.24     0.00      197     0.00     0.00  sub_100c8c30()
  0.00      5.24     0.00      192     0.00     0.00  sub_1005c930()
